"F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13"
"","","","","","","","","","","","",""
"","","","","","Financial Detail Report","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"Page 1 of 1","","","","","Print Date","",":","2/23/2026 11:23:34 PM","","","",""
":","","The Lazy Donkey","","","Report Period","",":","","2/23/2026 12:00:00 AM","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"All Revenue Centers","","","","Current Open Sales Day","","",":","2/24/2026 12:00:00 AM","","","",""
"","","","","","","","","","","","",""
"","","Net Sales","Non Taxable Sales","","Beginning GC Total","","Change In GC Total","","","Grand Control Total","",""
"","","$3,160.56","$0.00","","$36,026,382.16","","$3,267.76","","","$36,029,649.92","",""
"","","","","","","","","","","","",""
"Transaction Count","","","97","","","Checks Opened","88","","","$2,321.39","",""
"Sales Per Transaction","","","$32.58","","","Checks Closed","88","","","$742.39","",""
"Items Sold","","","720","","","Current Open Checks","0","","","$96.78","",""
"Items Per Transaction","","","7.42","","","Sales Per Open Check","$35.92","","","Sales Type 4","$0.00",""
"Void + Zero Transactions","","","9","","","Customer Count","85","","","$0.00","",""
"No Sale Count","","","4","","","Customers Per Check","0.97","","","$0.00","",""
"Transaction Time (AVG)","","","0:00:00","","","Net Sales / Customer Count","$37.18","","","$3,160.56","",""
"Ring Time (AVG)","","","0:00:00","","","GCT - Void/Ref/Wst","$4.70","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"Sales","Category","","","","Count","Sales","","","","","",""
"","","","","","","","","","","","",""
"","Appetizers","","","","66","$399.27","","12/30/1899 3:01:54 AM","","","",""
"","Combinations","","","","11","$131.47","","12/30/1899 12:59:53 AM","","","",""
"","Desserts","","","","2","$8.50","","12/30/1899 12:03:52 AM","","","",""
"","Draft Beer","","","","6","$26.95","","12/30/1899 12:12:16 AM","","","",""
"","Food Prep","","","","256","$75.18","","12/30/1899 12:34:15 AM","","","",""
"","House Combinations","","","","8","$121.92","","12/30/1899 12:55:32 AM","","","",""
"","Imported Beer","","","","2","$9.00","","12/30/1899 12:04:06 AM","","","",""
"","Kids Menu","","","","14","$95.94","","12/30/1899 12:43:42 AM","","","",""
"","Liq Prep","","","","19","$1.50","","12/30/1899 12:00:41 AM","","","",""
"","Lunch Only","","","","25","$244.83","","12/30/1899 1:51:32 AM","","","",""
"","Margaritas","","","","11","$94.65","","12/30/1899 12:43:07 AM","","","",""
"","Nachos","","","","18","$255.82","","12/30/1899 1:56:33 AM","","","",""
"","Protein","","","","8","$45.84","","12/30/1899 12:20:53 AM","","","",""
"","Quesadillas","","","","2","$27.98","","12/30/1899 12:12:44 AM","","","",""
"","Salads","","","","7","$91.63","","12/30/1899 12:41:44 AM","","","",""
"","Side Orders","","","","82","$327.56","","12/30/1899 2:29:14 AM","","","",""
"","Signiture","","","","1","$9.00","","12/30/1899 12:04:06 AM","","","",""
"","Soft Drinks","","","","111","$326.40","","12/30/1899 2:28:42 AM","","","",""
"","Spcl Dinners","","","","52","$839.29","","12/30/1899 6:22:23 AM","","","",""
"","To go Items","","","","18","$13.84","","12/30/1899 12:06:18 AM","","","",""
"","Veggie Plates","","","","1","$13.99","","12/30/1899 12:06:22 AM","","","",""
"","Category Totals:","","","","720","$3,160.56","","1/1/1900 12:00:00 AM","","$3,160.56","",""
"","","","","","","","","","","$3,160.56","",""
"","","","","","","","","","","","",""
"Media","","Payment Media","","","Count","Amount","","","","","",""
"",""," Cash","","","101","$3,415.48","","","","","",""
"","","","","","","$3,415.48","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","$3,415.48","",""
"","","Payment Adjustments","","","Count","Amount","","","","","",""
"","","Gratuity","","","10","($453.70)","","","","","",""
"","","Tips Paid","","","5","$420.00","","","","","",""
"","","Tax 1","","","84","($223.47)","","9/26/1908 12:14:24 AM","","","",""
"","","Sales Transfer Out","","","68","$333.68","","","","","",""
"","","Sales Transfer In","","","68","($333.68)","","","","","",""
"","","Payment Adjustments Totals:","","","","($257.17)","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","($257.17)","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","$2.25","",""
"","","","","","","","","","","$3,160.56","",""
"","","","","","","","","","","","",""
"Memo","","Memo Sales Adjustments","","","Count","Amount","","","","","",""
"","","Error Corrects","","","516","($3,862.44)","","1/1/1900 5:19:47 AM","","","",""
"","","MGR Void","","","1","($4.70)","","12/30/1899 12:02:08 AM","","","",""
"","","Employee Disc","","","32","($90.16)","","12/30/1899 12:41:04 AM","","","",""
"","","MGR Disc","","","3","($12.34)","","12/30/1899 12:05:37 AM","","","",""
"","","Memo Sales Adjustments Totals:","","","","($3,969.64)","","1/1/1900 6:08:37 AM","","","",""
