"F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13"
"","","","","","","","","","","","",""
"","","","","","Hourly Sales Report","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"Page 1 of 1","","","","Print Date","",":","2/23/2026 11:25:36 PM","","","","",""
"Store","",":","The Lazy Donkey","Report Period","",":","","2/23/2026 12:00:00 AM","","","",""
"","","","","","","","","","","","",""
"","","","","Current Open Sales Day","",":","2/24/2026 12:00:00 AM","","","","",""
"","","","","","","","","","","","",""
"The Lazy Donkey","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"Time Period","","","Gross Sales","Net Sales","Discounts","# GST","","","% The Lazy Donkey","","Cumulative Total",""
"","","","","","","","","","","","",""
"11:15  - 11:29","","","$55.71","$55.71","$0.00","3","1/3/1900 12:00:00 AM","1/18/1900 1:40:48 PM","1.76%","","$55.71",""
"11:30  - 11:44","","","$68.17","$68.17","$0.00","2","1/2/1900 12:00:00 AM","2/3/1900 2:02:24 AM","2.16%","","$123.88",""
"11:45  - 11:59","","","$46.97","$46.97","$0.00","2","1/2/1900 12:00:00 AM","1/23/1900 11:38:24 AM","1.49%","","$170.85",""
"12:00  - 12:14","","","$16.49","$4.15","$12.34","1","1/2/1900 12:00:00 AM","1/2/1900 1:48:00 AM","0.13%","","$175.00",""
"12:15  - 12:29","","","$78.90","$78.90","$0.00","4","1/5/1900 12:00:00 AM","1/15/1900 6:43:12 PM","2.50%","","$253.90",""
"12:30  - 12:44","","","$236.80","$236.80","$0.00","3","1/2/1900 12:00:00 AM","4/27/1900 9:36:00 AM","7.49%","","$490.70",""
"12:45  - 12:59","","","$9.20","($32.31)","$41.51","1","1/1/1900 12:00:00 AM","11/28/1899 7:26:24 AM","-1.02%","","$458.39",""
"13:00  - 13:14","","","$167.76","$167.76","$0.00","6","1/5/1900 12:00:00 AM","2/2/1900 1:14:52 PM","5.31%","","$626.15",""
"13:15  - 13:29","","","$15.69","$15.69","$0.00","1","1/3/1900 12:00:00 AM","1/5/1900 5:31:12 AM","0.50%","","$641.84",""
"13:30  - 13:44","","","$49.77","$49.77","$0.00","0","12/30/1899 12:00:00 AM","12/30/1899 12:00:00 AM","1.57%","","$691.61",""
"13:45  - 13:59","","","$0.00","$0.00","$0.00","0","1/2/1900 12:00:00 AM","12/30/1899 12:00:00 AM","0.00%","","$691.61",""
"14:00  - 14:14","","","$0.00","$0.00","$0.00","0","1/1/1900 12:00:00 AM","12/30/1899 12:00:00 AM","0.00%","","$691.61",""
"14:30  - 14:44","","","$46.37","$46.37","$0.00","2","1/3/1900 12:00:00 AM","1/15/1900 10:57:36 AM","1.47%","","$737.98",""
"14:45  - 14:59","","","$96.83","$96.83","$0.00","3","1/2/1900 12:00:00 AM","2/17/1900 9:57:36 AM","3.06%","","$834.81",""
"15:00  - 15:14","","","$0.00","$0.00","$0.00","1","1/1/1900 12:00:00 AM","12/30/1899 12:00:00 AM","0.00%","","$834.81",""
"15:15  - 15:29","","","$94.15","$94.15","$0.00","3","1/4/1900 12:00:00 AM","1/23/1900 12:54:00 PM","2.98%","","$928.96",""
"15:30  - 15:44","","","$103.45","$103.45","$0.00","0","12/30/1899 12:00:00 AM","12/30/1899 12:00:00 AM","3.27%","","$1,032.41",""
